,timestamp,open,high,low,close,volume
0,1602896400000.0,4.3558,4.3578,4.3152,4.322,49449.44348867522
1,1602900000000.0,4.3207,4.3228,4.3113,4.3131,32850.40201001134
2,1602903600000.0,4.3138,4.3207,4.2816,4.29,30763.956066262046
3,1602907200000.0,4.292,4.3118,4.2701,4.3118,20877.692099082964
4,1602910800000.0,4.3118,4.3118,4.292,4.2959,35245.40788705642
5,1602914400000.0,4.2957,4.3043,4.29,4.3018,50309.045447490455
6,1602918000000.0,4.3015,4.3056,4.2859,4.293,16886.91726824684
7,1602921600000.0,4.2963,4.3234,4.29,4.3208,42167.98972117868
8,1602925200000.0,4.3211,4.3273,4.3138,4.3138,26620.14051694052
9,1602928800000.0,4.3135,4.3149,4.304,4.3059,10087.9101
10,1602932400000.0,4.3065,4.3094,4.3001,4.3036,14223.325687292647
11,1602936000000.0,4.3049,4.3216,4.3025,4.306,16756.970044286532
12,1602939600000.0,4.3076,4.329,4.3054,4.3247,45343.91952651781
13,1602943200000.0,4.3274,4.361,4.282,4.2861,17321.39694368617
14,1602946800000.0,4.2866,4.3301,4.24,4.321,72043.336262025
15,1602950400000.0,4.3196,4.3312,4.3169,4.324,75562.42575717809
16,1602954000000.0,4.3236,4.3322,4.3116,4.3129,30025.309707118653
17,1602957600000.0,4.3122,4.317,4.3054,4.3087,22844.2183
18,1602961200000.0,4.3087,4.3098,4.2952,4.3001,17933.570383990045
19,1602964800000.0,4.3004,4.3178,4.2953,4.2982,26716.241567327652
20,1602968400000.0,4.2999,4.3018,4.2958,4.3005,8773.2083
21,1602972000000.0,4.3008,4.3056,4.294,4.2969,11734.386096209873
22,1602975600000.0,4.2989,4.3015,4.2759,4.2824,13682.380905910099
23,1602979200000.0,4.2798,4.3016,4.2612,4.2673,22761.12829399819
24,1602982800000.0,4.2645,4.2757,4.241,4.2538,18512.989892640402
25,1602986400000.0,4.2545,4.273,4.2542,4.2611,23568.015161580603
